input_text,target_text,prompt_text,full_text
= Valkyria Chronicles III =,"n/a

### Notes:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

###","### Input:
= Valkyria Chronicles III =

### Output:
","### Input:
= Valkyria Chronicles III =

### Output:
n/a

### Notes:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

### Status:
n/a

### Notes:
n/a

### References:
n/a

### Tags:
n/a

###"
"Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan , is a tactical role @-@ playing video game developed by Sega and Media.Vision for the PlayStation Portable . Released in January 2011 in Japan , it is the third game in the Valkyria series . Employing the same fusion of tactical and real @-@ time gameplay as its predecessors , the story runs parallel to the first game and follows the "" Nameless "" , a penal military unit serving the nation of Gallia during the Second Europan War who perform secret black operations and are pitted against the Imperial unit "" Calamaty Raven "" .","C Squad"" of the Gallian Special Forces. The game was released in North America on November 11, 2014, and in Europe on November 14, 2014.
### Plot:
The game is set in the same fictional world as the first two games, but takes place in a different country, Gallia, and during a different war. The game follows the story of a squad of soldiers known as the ""C Squad"", who are part of the Gallian Special Forces. The game begins with the squad being sent to the front lines to assist in the war effort. As the game progresses, the squad is faced with various challenges and obstacles, including enemy soldiers, harsh terrain, and their own personal demons. The game features a variety of characters, each with their own unique personalities and abilities. The player must use these characters to their advantage in order to succeed in their missions.
### Gameplay:
The gameplay of Valkyria Chronicles III is similar to that of the previous games in the series. The player controls a squad of soldiers, each with their own unique abilities and weapons. The player must use these soldiers to complete various missions, including capturing enemy bases, rescuing hostages, and destroying enemy installations. The game features a variety of different environments,","### Input:
Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan , is a tactical role @-@ playing video game developed by Sega and Media.Vision for the PlayStation Portable . Released in January 2011 in Japan , it is the third game in the Valkyria series . Employing the same fusion of tactical and real @-@ time gameplay as its predecessors , the story runs parallel to the first game and follows the "" Nameless "" , a penal military unit serving the nation of Gallia during the Second Europan War who perform secret black operations and are pitted against the Imperial unit "" Calamaty Raven "" .

### Output:
","### Input:
Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan , is a tactical role @-@ playing video game developed by Sega and Media.Vision for the PlayStation Portable . Released in January 2011 in Japan , it is the third game in the Valkyria series . Employing the same fusion of tactical and real @-@ time gameplay as its predecessors , the story runs parallel to the first game and follows the "" Nameless "" , a penal military unit serving the nation of Gallia during the Second Europan War who perform secret black operations and are pitted against the Imperial unit "" Calamaty Raven "" .

### Output:
C Squad"" of the Gallian Special Forces. The game was released in North America on November 11, 2014, and in Europe on November 14, 2014.
### Plot:
The game is set in the same fictional world as the first two games, but takes place in a different country, Gallia, and during a different war. The game follows the story of a squad of soldiers known as the ""C Squad"", who are part of the Gallian Special Forces. The game begins with the squad being sent to the front lines to assist in the war effort. As the game progresses, the squad is faced with various challenges and obstacles, including enemy soldiers, harsh terrain, and their own personal demons. The game features a variety of characters, each with their own unique personalities and abilities. The player must use these characters to their advantage in order to succeed in their missions.
### Gameplay:
The gameplay of Valkyria Chronicles III is similar to that of the previous games in the series. The player controls a squad of soldiers, each with their own unique abilities and weapons. The player must use these soldiers to complete various missions, including capturing enemy bases, rescuing hostages, and destroying enemy installations. The game features a variety of different environments,"
"The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II . While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers . Character designer Raita Honjou and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles II director Takeshi Ozawa . A large team of writers handled the script . The game 's opening theme was sung by May 'n .","://en.wikipedia.org/wiki/Valkyria_Chronicles_3 Valkyria Chronicles 3 is a tactical role-playing game developed and published by Sega for the PlayStation Portable. It is the third game in the Valkyria series, and was released in Japan on March 20, 2014. It was released in North America on October 29, 2014, and in Europe on October 31, 2014. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The","### Input:
The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II . While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers . Character designer Raita Honjou and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles II director Takeshi Ozawa . A large team of writers handled the script . The game 's opening theme was sung by May 'n .

### Output:
","### Input:
The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II . While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers . Character designer Raita Honjou and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles II director Takeshi Ozawa . A large team of writers handled the script . The game 's opening theme was sung by May 'n .

### Output:
://en.wikipedia.org/wiki/Valkyria_Chronicles_3 Valkyria Chronicles 3 is a tactical role-playing game developed and published by Sega for the PlayStation Portable. It is the third game in the Valkyria series, and was released in Japan on March 20, 2014. It was released in North America on October 29, 2014, and in Europe on October 31, 2014. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The game was released in Japan as Valkyria Chronicles 3: The Party, and in North America and Europe as Valkyria Chronicles III: The Party. The"
"It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded edition in November of that year . It was also adapted into manga and an original video animation series . Due to low sales of Valkyria Chronicles II , Valkyria Chronicles III was not localized , but a fan translation compatible with the game 's expanded edition was released in 2014 . Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 .","It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable content, along with an expanded edition in November of that year. It was also adapted into manga and an original video animation series. Due to low sales of Valkyria Chronicles II, Valkyria Chronicles III was not localized, but a fan translation compatible with the game's expanded edition was released in 2014. Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4.

### Input:
It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable content, along with an expanded edition in November of that year. It was also adapted into manga and an original video animation series. Due to low sales of Valkyria Chronicles II, Valkyria Chronicles III was not localized, but a fan translation compatible with the game's expanded edition was released in 2014. Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4.

### Output:
It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable","### Input:
It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded edition in November of that year . It was also adapted into manga and an original video animation series . Due to low sales of Valkyria Chronicles II , Valkyria Chronicles III was not localized , but a fan translation compatible with the game 's expanded edition was released in 2014 . Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 .

### Output:
","### Input:
It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded edition in November of that year . It was also adapted into manga and an original video animation series . Due to low sales of Valkyria Chronicles II , Valkyria Chronicles III was not localized , but a fan translation compatible with the game 's expanded edition was released in 2014 . Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 .

### Output:
It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable content, along with an expanded edition in November of that year. It was also adapted into manga and an original video animation series. Due to low sales of Valkyria Chronicles II, Valkyria Chronicles III was not localized, but a fan translation compatible with the game's expanded edition was released in 2014. Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4.

### Input:
It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable content, along with an expanded edition in November of that year. It was also adapted into manga and an original video animation series. Due to low sales of Valkyria Chronicles II, Valkyria Chronicles III was not localized, but a fan translation compatible with the game's expanded edition was released in 2014. Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4.

### Output:
It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable"
"As with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions against enemy forces . Stories are told through comic book @-@ like panels with animated character portraits , with characters speaking partially through voiced speech bubbles and partially through unvoiced text . The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are unlocked . The route to each story location on the map varies depending on an individual player 's approach : when one option is selected , the other is sealed off to the player . Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs . Alongside the main story missions are character @-@ specific sub missions relating to different squad members . After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game . There are also love simulation elements related to the game 's two main heroines , although they take a very minor role .",", the player is given a choice of two other options to take, and the player can choose to take either of these options or return to the previous location and choose a different option. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the","### Input:
As with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions against enemy forces . Stories are told through comic book @-@ like panels with animated character portraits , with characters speaking partially through voiced speech bubbles and partially through unvoiced text . The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are unlocked . The route to each story location on the map varies depending on an individual player 's approach : when one option is selected , the other is sealed off to the player . Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs . Alongside the main story missions are character @-@ specific sub missions relating to different squad members . After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game . There are also love simulation elements related to the game 's two main heroines , although they take a very minor role .

### Output:
","### Input:
As with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions against enemy forces . Stories are told through comic book @-@ like panels with animated character portraits , with characters speaking partially through voiced speech bubbles and partially through unvoiced text . The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are unlocked . The route to each story location on the map varies depending on an individual player 's approach : when one option is selected , the other is sealed off to the player . Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs . Alongside the main story missions are character @-@ specific sub missions relating to different squad members . After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game . There are also love simulation elements related to the game 's two main heroines , although they take a very minor role .

### Output:
, the player is given a choice of two other options to take, and the player can choose to take either of these options or return to the previous location and choose a different option. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the story at a later time. The player can also choose to skip the story and go straight to the mission, but this will result in the player missing out on the story and the player will not be able to return to the"
"The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down perspective of the battlefield map : once a character is selected , the player moves the character around the battlefield in third @-@ person . A character can only act once per @-@ turn , but characters can be granted multiple turns at the expense of other characters ' turns . Each character has a field and distance of movement limited by their Action Gauge . Up to nine characters can be assigned to a single mission . During gameplay , characters will call out if something happens to them , such as their health points ( HP ) getting low or being knocked out by enemy attacks . Each character has specific "" Potentials "" , skills unique to each character . They are divided into "" Personal Potential "" , which are innate skills that remain unaltered unless otherwise dictated by the story and can either help or impede a character , and "" Battle Potentials "" , which are grown throughout the game and always grant boons to a character . To learn Battle Potentials , each character has a unique "" Masters Table "" , a grid @-@ based skill table that can be used to acquire and link different skills . Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate "" Direct Command "" and move around the battlefield without depleting his Action Point gauge , the character Reila can shift into her "" Valkyria Form "" and become invincible , while Imca can target multiple enemy units with her heavy weapon .","be able to use a variety of weapons and items, including the ability to use the "" Limit Break "" ability, which allows characters to perform a powerful attack. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack","### Input:
The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down perspective of the battlefield map : once a character is selected , the player moves the character around the battlefield in third @-@ person . A character can only act once per @-@ turn , but characters can be granted multiple turns at the expense of other characters ' turns . Each character has a field and distance of movement limited by their Action Gauge . Up to nine characters can be assigned to a single mission . During gameplay , characters will call out if something happens to them , such as their health points ( HP ) getting low or being knocked out by enemy attacks . Each character has specific "" Potentials "" , skills unique to each character . They are divided into "" Personal Potential "" , which are innate skills that remain unaltered unless otherwise dictated by the story and can either help or impede a character , and "" Battle Potentials "" , which are grown throughout the game and always grant boons to a character . To learn Battle Potentials , each character has a unique "" Masters Table "" , a grid @-@ based skill table that can be used to acquire and link different skills . Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate "" Direct Command "" and move around the battlefield without depleting his Action Point gauge , the character Reila can shift into her "" Valkyria Form "" and become invincible , while Imca can target multiple enemy units with her heavy weapon .

### Output:
","### Input:
The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down perspective of the battlefield map : once a character is selected , the player moves the character around the battlefield in third @-@ person . A character can only act once per @-@ turn , but characters can be granted multiple turns at the expense of other characters ' turns . Each character has a field and distance of movement limited by their Action Gauge . Up to nine characters can be assigned to a single mission . During gameplay , characters will call out if something happens to them , such as their health points ( HP ) getting low or being knocked out by enemy attacks . Each character has specific "" Potentials "" , skills unique to each character . They are divided into "" Personal Potential "" , which are innate skills that remain unaltered unless otherwise dictated by the story and can either help or impede a character , and "" Battle Potentials "" , which are grown throughout the game and always grant boons to a character . To learn Battle Potentials , each character has a unique "" Masters Table "" , a grid @-@ based skill table that can be used to acquire and link different skills . Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate "" Direct Command "" and move around the battlefield without depleting his Action Point gauge , the character Reila can shift into her "" Valkyria Form "" and become invincible , while Imca can target multiple enemy units with her heavy weapon .

### Output:
be able to use a variety of weapons and items, including the ability to use the "" Limit Break "" ability, which allows characters to perform a powerful attack. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack "" system, which allows characters to perform a series of attacks in a row. The game also features a "" Chain Attack"
"Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class does not greatly affect the stats gained while in a previous class . With victory in battle , experience points are awarded to the squad , which are distributed into five different attributes shared by the entire squad , a feature differing from early games ' method of distributing to different unit types .","n the game, the player can choose to play as either the Allied or Axis forces. The Allied forces are represented by the United States, the Soviet Union, and the United Kingdom, while the Axis forces are represented by Germany, Japan, and Italy. The player can choose to play as any of the five classes, and can also choose to play as a female character. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions","### Input:
Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class does not greatly affect the stats gained while in a previous class . With victory in battle , experience points are awarded to the squad , which are distributed into five different attributes shared by the entire squad , a feature differing from early games ' method of distributing to different unit types .

### Output:
","### Input:
Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class does not greatly affect the stats gained while in a previous class . With victory in battle , experience points are awarded to the squad , which are distributed into five different attributes shared by the entire squad , a feature differing from early games ' method of distributing to different unit types .

### Output:
n the game, the player can choose to play as either the Allied or Axis forces. The Allied forces are represented by the United States, the Soviet Union, and the United Kingdom, while the Axis forces are represented by Germany, Japan, and Italy. The player can choose to play as any of the five classes, and can also choose to play as a female character. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions, and can also choose to play as a character from any of the five classes. The player can also choose to play as a character from any of the three factions"
"The game takes place during the Second Europan War . Gallian Army Squad 422 , also known as "" The Nameless "" , are a penal military unit composed of criminals , foreign deserters , and military offenders whose real names are erased from the records and thereon officially referred to by numbers . Ordered by the Gallian military to perform the most dangerous missions that the Regular Army and Militia will not do , they are nevertheless up to the task , exemplified by their motto , Altaha Abilia , meaning "" Always Ready . "" The three main characters are No.7 Kurt Irving , an army officer falsely accused of treason who wishes to redeem himself ; Ace No.1 Imca , a female Darcsen heavy weapons specialist who seeks revenge against the Valkyria who destroyed her home ; and No.13 Riela Marcellis , a seemingly jinxed young woman who is unknowingly a descendant of the Valkyria . Together with their fellow squad members , these three are tasked to fight against a mysterious Imperial unit known as Calamity Raven , consisting of mostly Darcsen soldiers .","of treason ; No.8 Lelei Langlet, a foreigner from the neighboring country of Estreich ; and No.9 Alis Landale, a former member of the Regular Army who was court-martialed for disobeying orders. The three are joined by No.10, a mysterious girl who is the only one who knows their real names.","### Input:
The game takes place during the Second Europan War . Gallian Army Squad 422 , also known as "" The Nameless "" , are a penal military unit composed of criminals , foreign deserters , and military offenders whose real names are erased from the records and thereon officially referred to by numbers . Ordered by the Gallian military to perform the most dangerous missions that the Regular Army and Militia will not do , they are nevertheless up to the task , exemplified by their motto , Altaha Abilia , meaning "" Always Ready . "" The three main characters are No.7 Kurt Irving , an army officer falsely accused of treason who wishes to redeem himself ; Ace No.1 Imca , a female Darcsen heavy weapons specialist who seeks revenge against the Valkyria who destroyed her home ; and No.13 Riela Marcellis , a seemingly jinxed young woman who is unknowingly a descendant of the Valkyria . Together with their fellow squad members , these three are tasked to fight against a mysterious Imperial unit known as Calamity Raven , consisting of mostly Darcsen soldiers .

### Output:
","### Input:
The game takes place during the Second Europan War . Gallian Army Squad 422 , also known as "" The Nameless "" , are a penal military unit composed of criminals , foreign deserters , and military offenders whose real names are erased from the records and thereon officially referred to by numbers . Ordered by the Gallian military to perform the most dangerous missions that the Regular Army and Militia will not do , they are nevertheless up to the task , exemplified by their motto , Altaha Abilia , meaning "" Always Ready . "" The three main characters are No.7 Kurt Irving , an army officer falsely accused of treason who wishes to redeem himself ; Ace No.1 Imca , a female Darcsen heavy weapons specialist who seeks revenge against the Valkyria who destroyed her home ; and No.13 Riela Marcellis , a seemingly jinxed young woman who is unknowingly a descendant of the Valkyria . Together with their fellow squad members , these three are tasked to fight against a mysterious Imperial unit known as Calamity Raven , consisting of mostly Darcsen soldiers .

### Output:
of treason ; No.8 Lelei Langlet, a foreigner from the neighboring country of Estreich ; and No.9 Alis Landale, a former member of the Regular Army who was court-martialed for disobeying orders. The three are joined by No.10, a mysterious girl who is the only one who knows their real names."
"As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war . While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Gusurg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Raven , attached to the ideal of Darcsen independence proposed by their leader , Dahau . At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests . Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason .","same time, the Gallian Army is forced to deal with the aftermath of the defection, as well as the fact that the Nameless are now being hunted by the Imperial Army.","### Input:
As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war . While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Gusurg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Raven , attached to the ideal of Darcsen independence proposed by their leader , Dahau . At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests . Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason .

### Output:
","### Input:
As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war . While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Gusurg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Raven , attached to the ideal of Darcsen independence proposed by their leader , Dahau . At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests . Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason .

### Output:
same time, the Gallian Army is forced to deal with the aftermath of the defection, as well as the fact that the Nameless are now being hunted by the Imperial Army."
"Partly due to these events , and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire , the Nameless are offered a formal position as a squad in the Gallian Army rather than serve as an anonymous shadow force . This is short @-@ lived , however , as following Maximilian 's defeat , Dahau and Calamity Raven move to activate an ancient Valkyrian super weapon within the Empire , kept secret by their benefactor . Without the support of Maximilian or the chance to prove themselves in the war with Gallia , it is Dahau 's last trump card in creating a new Darcsen nation . As an armed Gallian force invading the Empire just following the two nations ' cease @-@ fire would certainly wreck their newfound peace , Kurt decides to once again make his squad the Nameless , asking Crowe to list himself and all under his command as killed @-@ in @-@ action . Now owing allegiance to none other than themselves , the 422nd confronts Dahau and destroys the Valkyrian weapon . Each member then goes their separate ways in order to begin their lives anew .",s decision to disband the Nameless and return to their home world.,"### Input:
Partly due to these events , and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire , the Nameless are offered a formal position as a squad in the Gallian Army rather than serve as an anonymous shadow force . This is short @-@ lived , however , as following Maximilian 's defeat , Dahau and Calamity Raven move to activate an ancient Valkyrian super weapon within the Empire , kept secret by their benefactor . Without the support of Maximilian or the chance to prove themselves in the war with Gallia , it is Dahau 's last trump card in creating a new Darcsen nation . As an armed Gallian force invading the Empire just following the two nations ' cease @-@ fire would certainly wreck their newfound peace , Kurt decides to once again make his squad the Nameless , asking Crowe to list himself and all under his command as killed @-@ in @-@ action . Now owing allegiance to none other than themselves , the 422nd confronts Dahau and destroys the Valkyrian weapon . Each member then goes their separate ways in order to begin their lives anew .

### Output:
","### Input:
Partly due to these events , and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire , the Nameless are offered a formal position as a squad in the Gallian Army rather than serve as an anonymous shadow force . This is short @-@ lived , however , as following Maximilian 's defeat , Dahau and Calamity Raven move to activate an ancient Valkyrian super weapon within the Empire , kept secret by their benefactor . Without the support of Maximilian or the chance to prove themselves in the war with Gallia , it is Dahau 's last trump card in creating a new Darcsen nation . As an armed Gallian force invading the Empire just following the two nations ' cease @-@ fire would certainly wreck their newfound peace , Kurt decides to once again make his squad the Nameless , asking Crowe to list himself and all under his command as killed @-@ in @-@ action . Now owing allegiance to none other than themselves , the 422nd confronts Dahau and destroys the Valkyrian weapon . Each member then goes their separate ways in order to begin their lives anew .

### Output:
s decision to disband the Nameless and return to their home world."
